gourd_type,variety_name,season,avg_temperature,avg_humidity,avg_rainfall_mm,soil_moisture,fertilizer_type,fertilizer_frequency,plant_health_score,successful_pollinations,predicted_days_to_maturity,mature_fruit_count,avg_fruit_weight_kg,total_yield_kg
cucumber,pipino_native,wet,28.6,77.1,27.5,61.8,organic,none,3,17,33,17,0.38,6.46
sponge_gourd,patola_ridged,wet,27.5,83.5,22.0,69.4,chemical,none,3,12,43,12,0.33,3.96
cucumber,pipino,dry,25.0,57.6,0.7,72.4,organic,monthly,4,8,34,8,0.2,1.6
cucumber,pipino_japanese,wet,29.1,89.5,17.1,76.6,none,none,4,9,41,9,0.2,1.8
cucumber,pipino,dry,27.1,72.3,3.9,66.0,organic,none,3,15,42,15,0.32,4.8
sponge_gourd,patola_ridged,wet,27.4,70.8,11.2,70.2,chemical,weekly,3,14,48,14,0.39,5.46
cucumber,pipino,dry,25.5,74.5,4.9,79.0,none,none,3,6,42,6,0.23,1.38
sponge_gourd,patola_ridged,dry,29.7,62.5,3.4,74.7,chemical,biweekly,4,13,46,13,0.41,5.33
sponge_gourd,patola_ridged,dry,29.7,66.4,6.8,74.1,organic,monthly,4,10,38,10,0.71,7.1
sponge_gourd,patola_ridged,dry,26.1,68.3,8.9,56.4,chemical,biweekly,3,7,43,7,0.59,4.13
cucumber,pipino,wet,29.9,82.5,16.9,62.5,organic,weekly,5,19,35,19,0.19,3.61
cucumber,pipino,dry,24.4,63.5,6.6,51.0,chemical,none,3,9,44,9,0.3,2.7
cucumber,pipino_native,dry,33.8,62.7,3.7,61.6,chemical,biweekly,3,15,37,15,0.26,3.9
cucumber,pipino,wet,29.4,82.4,12.4,62.9,mixed,none,4,17,39,17,0.22,3.74
bottle_gourd,upo_long,wet,29.9,87.8,20.7,74.2,organic,monthly,4,17,57,17,2.3,39.1
bottle_gourd,upo_smooth,dry,32.9,66.7,9.7,74.6,organic,monthly,5,18,58,18,1.01,18.18
cucumber,pipino_native,wet,27.5,83.6,27.0,58.1,organic,none,3,6,38,6,0.38,2.28
cucumber,pipino_japanese,wet,28.7,78.5,28.3,74.3,chemical,biweekly,4,15,34,15,0.19,2.85
cucumber,pipino,dry,34.0,60.5,4.7,55.8,mixed,none,4,16,46,16,0.19,3.04
cucumber,pipino,dry,24.5,68.7,3.9,78.8,chemical,monthly,4,17,44,17,0.3,5.1
bottle_gourd,upo_round,dry,34.1,58.7,7.9,71.4,mixed,weekly,3,12,57,12,1.44,17.28
sponge_gourd,patola_smooth,wet,27.7,87.0,26.9,70.0,mixed,none,5,23,43,23,0.52,11.96
sponge_gourd,patola_smooth,wet,28.5,80.2,17.9,52.9,mixed,biweekly,5,21,48,21,0.32,6.72
sponge_gourd,patola_smooth,wet,31.3,76.1,24.2,60.4,mixed,monthly,4,14,44,14,0.31,4.34
cucumber,pipino_native,wet,27.6,78.0,27.4,63.4,chemical,none,3,7,37,7,0.33,2.31
cucumber,pipino_native,dry,30.4,72.8,1.0,76.6,none,weekly,4,13,40,13,0.23,2.99
bitter_gourd,ampalaya_oblong,dry,27.9,64.8,4.4,77.2,none,weekly,3,10,51,10,0.47,4.7
cucumber,pipino,wet,27.7,89.3,20.5,69.2,chemical,weekly,4,14,40,14,0.24,3.36
cucumber,pipino_native,wet,28.7,71.2,20.8,60.1,mixed,weekly,4,7,30,7,0.22,1.54
sponge_gourd,patola,wet,27.5,80.9,11.5,73.0,none,biweekly,4,10,45,10,0.35,3.5
sponge_gourd,patola_smooth,dry,28.7,71.3,7.1,59.5,organic,monthly,4,23,44,23,0.5,11.5
sponge_gourd,patola_smooth,wet,31.7,81.0,28.7,78.9,none,none,4,10,49,10,0.5,5.0
bitter_gourd,ampalaya_hybrid,wet,29.5,83.2,12.6,57.9,mixed,monthly,4,11,46,11,0.24,2.64
sponge_gourd,patola,wet,27.5,79.2,18.9,58.0,mixed,none,4,15,38,15,0.51,7.65
cucumber,pipino,wet,30.0,78.7,13.6,51.5,chemical,weekly,4,14,37,14,0.35,4.9
bitter_gourd,ampalaya_bilog,dry,24.3,63.4,3.2,71.5,chemical,none,3,6,49,6,0.43,2.58
sponge_gourd,patola,wet,30.6,84.3,11.5,78.3,organic,biweekly,4,15,47,15,0.44,6.6
cucumber,pipino_native,wet,30.0,74.2,20.6,60.7,none,monthly,3,6,42,6,0.18,1.08
sponge_gourd,patola,dry,32.1,66.0,4.2,74.4,none,none,3,7,52,7,0.75,5.25
bottle_gourd,upo_round,dry,29.7,74.7,5.7,60.2,mixed,monthly,4,15,57,15,2.71,40.65
bottle_gourd,upo_long,dry,29.0,70.4,4.4,77.5,organic,weekly,4,14,54,14,1.38,19.32
bottle_gourd,upo_round,dry,34.1,73.2,9.2,56.9,organic,monthly,4,18,60,18,1.77,31.86
sponge_gourd,patola,wet,26.6,89.8,23.1,56.7,organic,none,4,18,53,18,0.48,8.64
bitter_gourd,ampalaya_hybrid,wet,30.0,84.0,10.8,58.1,chemical,biweekly,3,9,57,9,0.16,1.44
bitter_gourd,ampalaya_hybrid,wet,29.9,84.0,15.2,74.9,organic,weekly,3,9,44,9,0.17,1.53
cucumber,pipino_japanese,dry,25.7,66.6,9.7,57.0,chemical,biweekly,3,11,38,11,0.4,4.4
sponge_gourd,patola_ridged,wet,26.5,74.6,18.8,66.8,mixed,none,4,13,43,13,0.59,7.67
cucumber,pipino_japanese,dry,34.6,66.4,8.4,76.3,none,weekly,4,10,37,10,0.39,3.9
bottle_gourd,upo_long,wet,27.9,75.8,26.2,57.1,mixed,none,4,19,55,19,1.37,26.03
sponge_gourd,patola,wet,30.7,76.6,21.3,69.1,mixed,biweekly,3,4,47,4,0.65,2.6
cucumber,pipino_japanese,wet,29.0,70.9,11.6,69.6,none,biweekly,4,9,39,9,0.35,3.15
bottle_gourd,upo_long,wet,27.7,83.0,26.9,71.9,organic,none,4,20,53,20,3.16,63.2
bitter_gourd,ampalaya_hybrid,dry,26.0,58.4,4.9,65.2,mixed,weekly,4,14,53,14,0.29,4.06
sponge_gourd,patola_smooth,dry,31.6,63.9,1.0,77.8,chemical,monthly,3,10,48,10,0.49,4.9
cucumber,pipino_japanese,wet,29.2,76.6,15.0,74.9,chemical,biweekly,4,12,44,12,0.16,1.92
bottle_gourd,upo_long,dry,33.0,72.1,4.3,53.4,chemical,monthly,4,15,53,15,1.79,26.85
bitter_gourd,ampalaya_oblong,dry,24.2,60.0,7.8,51.3,mixed,biweekly,5,20,43,20,0.19,3.8
bottle_gourd,upo_smooth,dry,32.0,60.2,7.9,65.7,chemical,monthly,2,4,59,4,1.96,7.84
bitter_gourd,ampalaya_oblong,wet,29.7,79.6,12.3,60.8,mixed,none,5,18,47,18,0.41,7.38
cucumber,pipino_native,dry,25.7,68.3,0.3,70.9,organic,biweekly,3,14,41,14,0.24,3.36
cucumber,pipino,wet,31.1,87.1,25.3,61.5,chemical,weekly,3,12,38,12,0.22,2.64
cucumber,pipino_japanese,wet,30.6,70.4,27.8,68.5,mixed,weekly,4,17,39,17,0.3,5.1
cucumber,pipino_japanese,wet,26.2,88.1,18.0,68.1,none,none,4,11,34,11,0.32,3.52
bottle_gourd,upo_round,wet,29.3,84.1,18.6,63.6,organic,none,4,12,49,12,2.5,30.0
cucumber,pipino,wet,28.0,89.4,10.0,60.7,organic,biweekly,4,16,32,16,0.26,4.16
cucumber,pipino,dry,33.1,55.5,6.6,50.2,none,none,3,8,38,8,0.37,2.96
sponge_gourd,patola,wet,27.6,70.0,15.1,69.4,none,weekly,2,6,55,6,0.36,2.16
bitter_gourd,ampalaya_bilog,dry,27.5,65.3,5.7,57.9,chemical,monthly,4,15,46,15,0.25,3.75
bitter_gourd,ampalaya_hybrid,dry,29.7,55.3,10.0,65.6,mixed,weekly,4,18,42,18,0.5,9.0
bitter_gourd,ampalaya_hybrid,dry,24.9,70.9,9.2,68.9,mixed,biweekly,4,15,49,15,0.39,5.85
cucumber,pipino_native,wet,27.7,71.2,22.3,77.5,none,weekly,5,9,36,9,0.35,3.15
bitter_gourd,ampalaya_bilog,wet,28.0,86.7,25.2,55.6,organic,none,4,16,46,16,0.15,2.4
bottle_gourd,upo_long,wet,29.0,85.3,26.0,52.8,none,none,4,11,55,11,3.03,33.33
sponge_gourd,patola_smooth,wet,29.8,79.1,10.5,52.8,none,none,4,16,47,16,0.51,8.16
bottle_gourd,upo_smooth,dry,34.8,69.5,2.5,72.7,chemical,none,2,4,62,4,3.12,12.48
cucumber,pipino_native,wet,31.5,82.7,24.3,75.7,mixed,weekly,4,10,36,10,0.4,4.0
bitter_gourd,ampalaya_bilog,dry,33.5,73.0,2.8,50.4,chemical,weekly,4,15,47,15,0.49,7.35
cucumber,pipino,dry,27.3,55.8,1.8,70.4,mixed,weekly,4,14,37,14,0.2,2.8
bitter_gourd,ampalaya_bilog,wet,30.5,81.4,25.9,71.7,mixed,monthly,5,17,48,17,0.18,3.06
bitter_gourd,ampalaya_oblong,dry,24.4,73.8,4.0,78.1,organic,monthly,5,19,46,19,0.3,5.7
bitter_gourd,ampalaya_oblong,wet,29.7,87.2,10.5,59.5,chemical,monthly,4,12,47,12,0.17,2.04
bottle_gourd,upo_smooth,wet,28.8,83.6,23.8,59.9,none,none,3,6,53,6,1.22,7.32
cucumber,pipino_japanese,wet,28.0,86.5,17.0,68.2,chemical,weekly,2,8,39,8,0.28,2.24
sponge_gourd,patola_ridged,dry,31.5,61.0,2.3,69.0,organic,monthly,5,12,43,12,0.37,4.44
cucumber,pipino,wet,26.5,83.8,10.6,61.0,organic,weekly,4,16,41,16,0.25,4.0
cucumber,pipino_native,wet,30.2,75.3,20.3,61.5,none,biweekly,4,5,36,5,0.33,1.65
bitter_gourd,ampalaya_hybrid,wet,30.2,85.1,12.3,72.6,mixed,monthly,4,14,43,14,0.38,5.32
cucumber,pipino_native,dry,24.5,59.6,7.9,72.0,organic,none,4,25,37,25,0.33,8.25
bottle_gourd,upo_smooth,dry,27.4,74.6,6.6,51.5,organic,weekly,4,14,52,14,2.1,29.4
cucumber,pipino_japanese,wet,28.1,82.2,24.6,65.7,none,weekly,4,6,36,6,0.16,0.96
cucumber,pipino_native,dry,28.2,55.9,2.9,76.1,none,none,3,8,42,8,0.37,2.96
sponge_gourd,patola_smooth,wet,26.4,82.7,14.9,78.5,chemical,none,2,8,47,8,0.78,6.24
sponge_gourd,patola_smooth,wet,27.1,71.3,11.9,67.6,organic,monthly,4,15,42,15,0.79,11.85
bitter_gourd,ampalaya_oblong,dry,24.9,72.5,4.4,72.2,none,biweekly,4,17,47,17,0.25,4.25
sponge_gourd,patola,wet,28.2,77.3,18.8,76.8,none,none,4,15,45,15,0.71,10.65
bitter_gourd,ampalaya_oblong,dry,32.0,68.7,6.7,53.0,mixed,none,3,14,49,14,0.4,5.6
sponge_gourd,patola_smooth,wet,28.4,75.2,16.5,64.3,chemical,weekly,4,12,45,12,0.59,7.08
bitter_gourd,ampalaya_hybrid,wet,30.1,85.7,13.7,76.3,mixed,biweekly,4,16,46,16,0.22,3.52
sponge_gourd,patola,dry,28.1,72.8,7.8,63.2,organic,none,4,17,40,17,0.46,7.82
bitter_gourd,ampalaya_oblong,wet,30.0,70.9,22.5,64.9,mixed,biweekly,3,10,46,10,0.37,3.7
sponge_gourd,patola_smooth,wet,28.3,87.1,19.0,63.3,mixed,weekly,4,17,47,17,0.72,12.24
cucumber,pipino_native,wet,28.5,78.2,18.7,79.5,mixed,weekly,3,7,40,7,0.3,2.1
cucumber,pipino,dry,31.1,66.8,1.3,63.5,none,biweekly,4,8,37,8,0.27,2.16
bitter_gourd,ampalaya_oblong,wet,27.8,87.1,24.0,59.4,chemical,biweekly,3,7,45,7,0.34,2.38
bottle_gourd,upo_round,dry,26.8,70.6,1.7,74.4,mixed,none,4,19,51,19,1.13,21.47
bitter_gourd,ampalaya_bilog,dry,29.1,70.6,0.1,73.9,organic,monthly,3,13,49,13,0.28,3.64
sponge_gourd,patola_ridged,wet,29.7,76.6,25.7,54.0,organic,biweekly,4,18,50,18,0.7,12.6
cucumber,pipino_native,wet,29.4,71.3,11.5,60.9,none,none,3,1,34,1,0.38,0.38
sponge_gourd,patola,wet,26.6,76.4,29.7,55.6,organic,weekly,3,11,49,11,0.53,5.83
bitter_gourd,ampalaya_hybrid,dry,24.1,68.5,3.7,54.5,none,weekly,5,16,42,16,0.34,5.44
bottle_gourd,upo_round,dry,33.8,72.1,9.0,77.1,chemical,weekly,3,9,55,9,2.34,21.06
sponge_gourd,patola,dry,25.5,70.4,0.7,54.6,organic,weekly,4,19,51,19,0.61,11.59
sponge_gourd,patola,dry,28.9,62.3,2.0,56.5,chemical,none,4,10,47,10,0.63,6.3
cucumber,pipino,wet,30.0,81.6,17.6,53.3,organic,weekly,4,15,35,15,0.21,3.15
cucumber,pipino_native,dry,25.3,72.7,6.3,66.0,organic,biweekly,3,8,40,8,0.29,2.32
cucumber,pipino,wet,29.0,70.2,17.5,75.8,mixed,none,5,20,34,20,0.21,4.2
cucumber,pipino_native,wet,28.5,89.4,22.2,60.2,none,biweekly,3,7,45,7,0.22,1.54
cucumber,pipino,wet,28.2,77.4,17.5,76.1,none,monthly,4,9,41,9,0.16,1.44
cucumber,pipino_japanese,dry,29.1,65.5,4.6,72.2,none,biweekly,4,9,35,9,0.35,3.15
bottle_gourd,upo_long,dry,33.0,57.0,4.8,56.3,mixed,biweekly,4,8,55,8,3.43,27.44
sponge_gourd,patola_smooth,wet,29.5,75.7,27.6,68.3,mixed,none,4,16,46,16,0.79,12.64
sponge_gourd,patola_smooth,wet,29.6,81.5,21.2,63.3,none,none,4,13,45,13,0.69,8.97
sponge_gourd,patola_smooth,wet,30.1,88.7,18.0,66.3,organic,none,3,13,45,13,0.54,7.02
bitter_gourd,ampalaya_hybrid,dry,32.3,67.6,4.8,67.9,none,weekly,3,5,53,5,0.25,1.25
cucumber,pipino,wet,27.7,86.5,24.5,60.0,none,biweekly,5,9,42,9,0.17,1.53
cucumber,pipino_japanese,wet,26.7,85.6,14.6,64.1,none,biweekly,4,9,33,9,0.36,3.24
sponge_gourd,patola_ridged,dry,34.6,73.2,6.8,59.5,chemical,weekly,2,5,47,5,0.78,3.9
bitter_gourd,ampalaya_bilog,wet,26.0,79.7,19.4,52.6,mixed,weekly,5,16,47,16,0.42,6.72
bitter_gourd,ampalaya_oblong,dry,30.0,67.4,5.6,72.8,none,biweekly,4,9,52,9,0.17,1.53
cucumber,pipino,dry,28.9,65.2,8.0,61.1,chemical,weekly,3,9,44,9,0.16,1.44
bitter_gourd,ampalaya_bilog,wet,27.2,74.1,24.9,61.8,organic,weekly,5,18,44,18,0.38,6.84
bitter_gourd,ampalaya_oblong,wet,26.2,86.4,20.3,67.0,none,monthly,3,6,50,6,0.42,2.52
cucumber,pipino_native,dry,31.8,57.6,7.1,67.8,mixed,monthly,5,15,37,15,0.37,5.55
cucumber,pipino_native,wet,30.5,80.4,12.2,56.1,none,biweekly,4,14,36,14,0.19,2.66
cucumber,pipino_japanese,dry,32.0,72.4,3.0,72.7,none,monthly,4,11,35,11,0.27,2.97
bottle_gourd,upo_long,wet,27.0,87.5,26.0,79.1,organic,weekly,3,5,53,5,2.31,11.55
bitter_gourd,ampalaya_bilog,wet,30.6,85.5,17.2,64.9,mixed,monthly,4,16,48,16,0.21,3.36
bitter_gourd,ampalaya_bilog,dry,26.4,63.8,2.9,52.7,mixed,monthly,4,15,53,15,0.36,5.4
cucumber,pipino_native,wet,29.0,72.0,12.2,52.7,chemical,weekly,4,12,35,12,0.37,4.44
cucumber,pipino_native,wet,31.4,82.2,15.5,79.2,organic,biweekly,5,14,33,14,0.16,2.24
bitter_gourd,ampalaya_bilog,dry,26.8,62.2,7.6,66.3,organic,biweekly,5,18,41,18,0.3,5.4
sponge_gourd,patola_ridged,wet,31.7,76.4,22.1,65.2,none,weekly,3,8,48,8,0.38,3.04
cucumber,pipino,wet,27.8,88.3,22.9,68.9,none,weekly,4,10,44,10,0.35,3.5
cucumber,pipino,wet,30.9,75.2,22.6,52.8,chemical,weekly,4,13,33,13,0.32,4.16
cucumber,pipino_japanese,dry,28.5,59.4,7.5,57.4,organic,weekly,5,22,34,22,0.24,5.28
sponge_gourd,patola_smooth,dry,24.4,74.2,5.0,79.1,mixed,weekly,5,15,41,15,0.37,5.55
sponge_gourd,patola,wet,28.5,89.8,21.3,59.0,none,none,3,9,47,9,0.45,4.05
cucumber,pipino_japanese,wet,28.7,87.8,11.8,59.5,organic,monthly,4,16,41,16,0.29,4.64
bitter_gourd,ampalaya_hybrid,dry,31.3,63.0,7.4,63.2,organic,biweekly,4,21,59,21,0.29,6.09
sponge_gourd,patola_ridged,dry,25.9,65.5,1.2,52.0,chemical,monthly,3,10,45,10,0.75,7.5
bottle_gourd,upo_smooth,wet,26.2,77.6,11.5,51.0,organic,biweekly,4,17,52,17,3.07,52.19
bitter_gourd,ampalaya_oblong,dry,29.4,74.0,9.7,62.3,none,none,3,8,54,8,0.22,1.76
cucumber,pipino,wet,29.6,71.1,20.5,67.3,none,monthly,4,11,40,11,0.31,3.41
bitter_gourd,ampalaya_oblong,wet,29.4,81.6,29.0,54.7,chemical,none,4,15,52,15,0.31,4.65
sponge_gourd,patola_ridged,dry,33.8,74.2,2.7,74.0,none,none,4,7,46,7,0.47,3.29
bottle_gourd,upo_round,wet,28.5,84.6,23.4,52.8,organic,none,4,15,53,15,2.77,41.55
sponge_gourd,patola,dry,24.9,64.9,7.0,73.9,none,weekly,3,5,46,5,0.48,2.4
sponge_gourd,patola_ridged,dry,25.2,74.8,9.2,66.3,none,none,3,6,43,6,0.76,4.56
bitter_gourd,ampalaya_oblong,dry,33.3,55.4,1.7,50.1,none,monthly,4,11,50,11,0.42,4.62
bottle_gourd,upo_long,wet,31.3,87.5,20.1,59.9,mixed,weekly,4,15,54,15,1.64,24.6
sponge_gourd,patola_ridged,wet,26.9,75.8,16.3,54.4,chemical,monthly,3,13,45,13,0.77,10.01
cucumber,pipino_native,dry,27.3,70.8,7.5,67.4,mixed,weekly,4,14,39,14,0.26,3.64
bottle_gourd,upo_round,dry,25.4,56.6,4.7,71.8,organic,biweekly,4,20,53,20,1.89,37.8
bottle_gourd,upo_long,dry,24.0,73.5,5.7,72.8,mixed,monthly,4,17,57,17,2.89,49.13
cucumber,pipino_native,wet,27.6,89.1,22.7,67.1,organic,monthly,3,12,42,12,0.39,4.68
bitter_gourd,ampalaya_hybrid,wet,28.3,79.6,11.0,71.3,chemical,none,4,13,52,13,0.48,6.24
bitter_gourd,ampalaya_oblong,dry,29.3,69.8,7.5,66.7,organic,none,4,16,48,16,0.23,3.68
sponge_gourd,patola,dry,33.3,68.8,7.7,68.3,chemical,weekly,3,7,49,7,0.31,2.17
cucumber,pipino_japanese,dry,32.3,57.3,9.7,54.0,chemical,monthly,3,3,40,3,0.18,0.54
bitter_gourd,ampalaya_oblong,wet,29.3,86.7,24.1,58.8,organic,none,4,15,49,15,0.28,4.2
sponge_gourd,patola_smooth,wet,29.7,80.5,20.5,69.5,none,weekly,4,8,38,8,0.6,4.8
bitter_gourd,ampalaya_bilog,wet,27.9,78.4,15.5,51.8,none,none,4,11,52,11,0.23,2.53
sponge_gourd,patola_smooth,wet,28.6,87.0,22.0,74.3,mixed,weekly,5,22,49,22,0.73,16.06
cucumber,pipino_japanese,dry,28.0,60.1,2.2,70.6,mixed,biweekly,4,16,30,16,0.39,6.24
cucumber,pipino_native,wet,30.2,87.9,22.5,74.3,organic,none,4,15,41,15,0.25,3.75
sponge_gourd,patola,dry,33.4,55.6,7.7,58.2,mixed,weekly,5,14,40,14,0.33,4.62
bottle_gourd,upo_round,wet,30.8,86.2,26.6,56.9,chemical,weekly,4,13,53,13,1.47,19.11
cucumber,pipino,wet,26.5,70.8,23.5,74.8,mixed,none,5,21,36,21,0.37,7.77
bitter_gourd,ampalaya_hybrid,wet,29.1,89.6,17.1,78.4,mixed,weekly,4,21,49,21,0.25,5.25
sponge_gourd,patola_smooth,dry,33.8,62.2,5.4,59.4,none,none,4,11,43,11,0.38,4.18
bitter_gourd,ampalaya_hybrid,dry,29.5,68.3,8.4,66.7,organic,biweekly,4,21,45,21,0.16,3.36
bottle_gourd,upo_round,wet,27.3,78.2,17.5,67.4,mixed,biweekly,4,18,55,18,2.3,41.4
bitter_gourd,ampalaya_oblong,wet,27.1,70.6,27.3,74.3,organic,weekly,5,21,42,21,0.24,5.04
cucumber,pipino,wet,26.0,85.4,22.1,70.9,organic,none,4,10,33,10,0.16,1.6
cucumber,pipino_native,wet,30.3,82.7,23.1,59.0,organic,weekly,3,7,40,7,0.18,1.26
cucumber,pipino,wet,31.2,82.2,10.3,52.7,organic,biweekly,4,9,37,9,0.34,3.06
sponge_gourd,patola,dry,24.4,56.9,4.6,63.7,none,weekly,4,9,43,9,0.32,2.88
sponge_gourd,patola_ridged,wet,28.2,86.9,10.1,74.4,organic,none,4,17,50,17,0.64,10.88
cucumber,pipino,dry,35.0,66.8,0.2,70.3,organic,weekly,5,18,35,18,0.16,2.88
cucumber,pipino_native,dry,30.6,70.5,2.3,75.0,organic,biweekly,4,7,37,7,0.27,1.89
sponge_gourd,patola,dry,33.5,74.9,8.7,58.8,chemical,biweekly,4,11,49,11,0.64,7.04
cucumber,pipino,wet,31.5,71.9,20.1,54.6,none,none,4,6,36,6,0.18,1.08
cucumber,pipino_native,wet,29.3,84.0,10.6,56.9,none,biweekly,3,6,34,6,0.24,1.44
bitter_gourd,ampalaya_bilog,wet,26.6,78.6,22.5,79.8,organic,weekly,4,18,49,18,0.26,4.68
sponge_gourd,patola,wet,26.3,75.6,26.9,71.4,mixed,monthly,4,15,44,15,0.64,9.6
cucumber,pipino_japanese,dry,27.9,60.7,5.9,74.2,chemical,none,3,8,32,8,0.4,3.2
bitter_gourd,ampalaya_hybrid,wet,31.6,71.8,20.9,68.8,none,none,3,5,46,5,0.36,1.8
bitter_gourd,ampalaya_bilog,wet,31.1,85.8,20.5,74.3,mixed,biweekly,4,11,50,11,0.3,3.3
bottle_gourd,upo_round,dry,33.8,66.2,8.5,58.7,none,monthly,4,14,54,14,3.11,43.54
sponge_gourd,patola_ridged,dry,29.2,72.1,3.1,79.7,chemical,monthly,4,16,48,16,0.58,9.28
sponge_gourd,patola,dry,31.4,58.2,6.1,54.2,mixed,monthly,3,15,47,15,0.41,6.15
bitter_gourd,ampalaya_oblong,wet,30.4,81.9,17.4,78.8,organic,weekly,4,14,47,14,0.34,4.76
bottle_gourd,upo_round,wet,30.3,83.1,15.1,74.5,none,none,3,7,58,7,1.83,12.81
cucumber,pipino_native,dry,33.7,66.5,8.8,70.5,chemical,biweekly,3,10,42,10,0.34,3.4
bitter_gourd,ampalaya_oblong,dry,26.1,58.6,1.0,50.4,mixed,weekly,4,12,46,12,0.44,5.28
cucumber,pipino_japanese,dry,32.4,60.7,8.8,59.3,chemical,weekly,3,4,40,4,0.35,1.4
cucumber,pipino_native,dry,29.6,70.5,4.3,69.1,mixed,weekly,4,16,35,16,0.16,2.56
cucumber,pipino,dry,34.8,66.9,5.1,52.0,mixed,weekly,4,13,34,13,0.27,3.51
cucumber,pipino_native,dry,26.3,71.8,4.0,79.9,mixed,weekly,4,13,36,13,0.39,5.07
sponge_gourd,patola_smooth,wet,31.3,72.6,16.6,78.5,chemical,monthly,3,10,48,10,0.49,4.9
cucumber,pipino_japanese,dry,27.3,57.7,2.5,70.0,organic,weekly,3,12,36,12,0.26,3.12
bitter_gourd,ampalaya_oblong,dry,24.3,56.0,2.1,59.0,none,monthly,3,2,50,2,0.29,0.58
cucumber,pipino,wet,27.2,87.0,26.6,77.3,organic,weekly,4,17,43,17,0.34,5.78
sponge_gourd,patola_ridged,dry,24.1,56.0,2.7,55.7,chemical,monthly,4,14,50,14,0.55,7.7
bottle_gourd,upo_round,wet,30.3,81.2,13.8,50.8,mixed,biweekly,4,17,53,17,2.47,41.99
bottle_gourd,upo_round,dry,28.8,64.1,0.6,51.6,mixed,biweekly,4,16,53,16,2.49,39.84
bottle_gourd,upo_long,dry,30.5,63.8,9.2,72.0,mixed,monthly,4,14,51,14,2.68,37.52
cucumber,pipino,wet,27.1,87.0,14.7,50.0,organic,weekly,4,9,36,9,0.16,1.44
sponge_gourd,patola_smooth,dry,32.2,56.6,6.8,74.7,organic,none,3,7,49,7,0.67,4.69
sponge_gourd,patola,dry,28.5,60.7,0.6,71.9,organic,weekly,3,11,45,11,0.32,3.52
bottle_gourd,upo_round,wet,26.7,86.2,26.4,57.1,mixed,weekly,4,9,52,9,3.35,30.15
sponge_gourd,patola_smooth,dry,32.1,66.6,3.0,77.1,organic,monthly,3,9,46,9,0.54,4.86
sponge_gourd,patola_ridged,dry,28.5,63.5,6.1,54.8,organic,monthly,5,23,43,23,0.78,17.94
sponge_gourd,patola_smooth,dry,34.8,55.7,1.1,67.3,none,monthly,2,7,50,7,0.47,3.29
cucumber,pipino_japanese,wet,30.5,84.4,10.0,64.7,organic,weekly,4,8,33,8,0.28,2.24
bitter_gourd,ampalaya_bilog,wet,29.8,86.2,25.5,52.3,organic,none,5,20,51,20,0.16,3.2
cucumber,pipino,dry,32.9,68.6,7.1,60.5,organic,biweekly,4,17,39,17,0.3,5.1
bottle_gourd,upo_smooth,dry,28.6,61.9,2.6,74.4,mixed,none,5,23,49,23,1.38,31.74
cucumber,pipino_japanese,wet,31.7,84.1,13.2,79.8,chemical,biweekly,4,9,39,9,0.37,3.33
cucumber,pipino_japanese,dry,27.8,64.8,8.4,53.5,none,biweekly,3,4,42,4,0.33,1.32
cucumber,pipino,wet,26.6,79.8,23.3,71.9,chemical,none,4,15,38,15,0.17,2.55
cucumber,pipino,wet,28.3,78.8,15.5,69.1,none,biweekly,2,5,36,5,0.19,0.95
cucumber,pipino,wet,26.9,70.4,28.1,68.0,chemical,monthly,3,6,35,6,0.22,1.32
sponge_gourd,patola_ridged,wet,28.1,88.5,12.3,53.2,chemical,weekly,4,11,40,11,0.66,7.26
bottle_gourd,upo_long,dry,25.4,73.6,7.7,75.3,organic,monthly,5,19,49,19,1.54,29.26
bitter_gourd,ampalaya_bilog,dry,32.1,57.2,5.1,54.8,mixed,none,4,16,48,16,0.45,7.2
sponge_gourd,patola_smooth,dry,28.1,74.9,1.4,54.5,mixed,weekly,5,18,43,18,0.44,7.92
cucumber,pipino_native,wet,26.5,72.1,13.6,55.5,chemical,biweekly,4,14,34,14,0.15,2.1
bitter_gourd,ampalaya_oblong,wet,27.8,84.1,29.1,72.7,chemical,weekly,3,10,50,10,0.2,2.0
cucumber,pipino_native,wet,31.8,72.6,16.1,63.4,organic,monthly,4,13,41,13,0.28,3.64
sponge_gourd,patola_ridged,wet,26.7,71.5,17.4,65.7,organic,monthly,4,15,43,15,0.41,6.15
cucumber,pipino_native,wet,31.1,75.9,29.6,72.3,organic,monthly,5,16,38,16,0.18,2.88
sponge_gourd,patola,wet,28.2,73.4,24.8,71.2,mixed,biweekly,3,12,47,12,0.54,6.48
bitter_gourd,ampalaya_bilog,wet,27.7,79.6,18.8,53.3,chemical,none,4,8,43,8,0.38,3.04
cucumber,pipino_native,wet,26.4,72.0,21.4,56.9,organic,monthly,3,8,36,8,0.37,2.96
sponge_gourd,patola_ridged,dry,32.3,56.8,8.8,71.1,chemical,weekly,4,14,45,14,0.8,11.2
sponge_gourd,patola,dry,34.3,61.0,8.9,50.1,none,monthly,3,4,49,4,0.65,2.6
bottle_gourd,upo_smooth,wet,27.3,80.9,14.4,59.2,none,biweekly,4,7,56,7,2.0,14.0
bottle_gourd,upo_smooth,dry,26.3,61.1,4.5,53.6,organic,biweekly,5,24,50,24,1.07,25.68
sponge_gourd,patola_ridged,dry,31.6,71.1,4.9,53.1,organic,none,4,14,39,14,0.42,5.88
