gourd_type,variety_name,season,avg_temperature,avg_humidity,sunlight_hours,soil_moisture,fertilizer_type,plant_health_score,vine_length_cm,leaf_count,male_flower_count,female_flower_count,is_hand_pollinated,pollinated_count,successful_pollinations,pollination_success_rate
bottle_gourd,upo_round,wet,31.3,89.1,5.2,67.4,mixed,5,717.6,100,94,30,0,26,12,0.522
sponge_gourd,patola_smooth,dry,28.0,57.8,9.6,56.0,chemical,4,656.7,100,76,30,0,28,13,0.435
bitter_gourd,ampalaya_bilog,wet,30.9,87.8,4.7,53.0,mixed,4,277.2,43,42,12,0,12,7,0.508
bitter_gourd,ampalaya_hybrid,dry,29.2,74.9,8.3,64.7,mixed,4,570.1,94,63,24,1,20,14,0.654
bitter_gourd,ampalaya_oblong,wet,26.5,78.5,5.1,61.1,mixed,4,563.0,96,89,25,1,21,13,0.607
bitter_gourd,ampalaya_bilog,dry,29.0,68.5,8.3,52.0,mixed,4,348.4,61,18,6,1,4,4,0.716
squash,kalabasa,wet,30.8,70.7,5.0,59.0,mixed,5,558.3,94,63,24,1,22,13,0.665
sponge_gourd,patola_ridged,dry,25.9,60.5,9.9,63.4,organic,4,312.2,51,41,18,0,15,9,0.513
sponge_gourd,patola_smooth,dry,24.9,73.3,8.8,72.9,organic,5,763.4,100,76,30,1,28,18,0.724
squash,kalabasa_hybrid,dry,27.3,69.2,8.2,67.2,mixed,4,656.6,100,48,19,0,16,9,0.553
sponge_gourd,patola,dry,32.9,62.2,9.1,51.7,organic,4,446.4,76,65,30,1,27,16,0.56
squash,kalabasa_hybrid,dry,29.9,55.9,7.3,78.4,chemical,4,555.6,91,34,9,1,9,7,0.528
sponge_gourd,patola_ridged,dry,33.5,65.7,7.8,69.9,organic,4,526.5,93,64,27,1,23,13,0.606
bottle_gourd,upo_round,dry,32.4,59.1,7.3,66.8,mixed,4,798.4,100,96,30,1,30,19,0.568
bottle_gourd,upo_smooth,dry,28.6,62.4,8.5,60.7,mixed,5,629.7,100,61,18,1,14,7,0.564
bottle_gourd,upo_smooth,wet,30.2,88.8,5.0,77.6,mixed,4,359.1,67,16,5,0,4,1,0.485
bottle_gourd,upo_long,wet,28.8,71.4,6.2,69.5,mixed,4,455.9,77,28,11,1,9,7,0.665
bitter_gourd,ampalaya_oblong,dry,28.2,55.2,7.4,67.6,none,3,224.4,40,15,4,0,1,0,0.404
squash,kalabasa_hybrid,dry,27.6,58.6,7.0,79.2,chemical,3,309.0,50,18,7,1,4,4,0.433
bitter_gourd,ampalaya_oblong,dry,31.1,56.3,7.3,51.1,chemical,4,391.0,58,31,11,1,8,6,0.502
squash,kalabasa,dry,26.2,64.3,7.4,73.2,organic,4,532.3,79,80,30,1,27,16,0.602
bitter_gourd,ampalaya_oblong,wet,31.1,70.0,6.4,52.6,mixed,3,466.2,72,83,28,1,26,12,0.536
sponge_gourd,patola,dry,28.7,56.8,8.3,58.0,chemical,4,688.4,100,59,24,1,20,9,0.563
bottle_gourd,upo_smooth,dry,28.2,63.0,7.4,62.4,mixed,4,579.5,96,27,10,1,9,8,0.633
cucumber,pipino_japanese,dry,34.7,74.0,9.8,54.6,mixed,4,175.6,38,7,4,1,2,2,0.537
sponge_gourd,patola,wet,27.4,89.0,4.4,74.2,organic,4,361.9,64,57,20,0,19,12,0.57
bitter_gourd,ampalaya_oblong,dry,34.5,67.4,9.3,77.4,none,3,193.3,35,33,10,0,10,3,0.338
bitter_gourd,ampalaya_hybrid,dry,33.6,56.4,7.5,52.6,mixed,4,631.7,100,83,29,0,28,16,0.503
cucumber,pipino_japanese,wet,27.0,79.9,4.8,72.6,chemical,3,225.1,32,30,15,0,12,7,0.388
bitter_gourd,ampalaya_oblong,wet,31.8,79.3,4.3,72.4,mixed,4,393.4,67,41,13,1,10,8,0.606
bitter_gourd,ampalaya_bilog,wet,27.8,76.2,5.7,51.8,organic,3,376.3,57,62,20,0,17,9,0.555
sponge_gourd,patola_smooth,wet,30.3,88.1,6.0,64.3,mixed,4,330.5,64,39,14,1,13,4,0.486
squash,kalabasa,dry,27.5,71.1,7.5,54.8,organic,5,610.1,100,33,13,1,9,9,0.723
sponge_gourd,patola,dry,24.2,56.4,9.4,71.5,organic,5,241.1,40,10,4,0,2,0,0.562
sponge_gourd,patola_smooth,wet,31.2,70.8,4.8,75.6,none,3,210.3,41,22,8,1,6,3,0.361
bottle_gourd,upo_long,wet,31.6,89.6,4.4,52.0,none,4,520.8,100,56,25,1,23,12,0.414
bitter_gourd,ampalaya_hybrid,wet,30.6,72.0,4.4,51.8,none,3,526.0,86,54,17,1,17,8,0.473
bottle_gourd,upo_smooth,dry,28.1,56.7,7.8,56.1,none,3,265.4,50,28,10,0,10,1,0.327
squash,kalabasa_native,dry,30.5,71.5,7.3,75.7,none,3,575.4,92,57,19,0,19,9,0.478
squash,kalabasa,dry,25.6,63.8,7.7,76.4,chemical,3,328.9,52,32,10,0,7,5,0.392
bitter_gourd,ampalaya_hybrid,wet,29.0,87.5,4.0,72.1,organic,5,884.9,100,104,30,0,26,12,0.55
squash,kalabasa_native,dry,28.8,65.4,8.2,52.3,chemical,4,692.7,100,51,18,1,16,7,0.558
sponge_gourd,patola_smooth,dry,26.3,59.9,9.6,67.7,none,2,251.5,44,45,17,0,16,3,0.303
squash,kalabasa,wet,27.2,82.3,5.3,69.8,mixed,2,348.7,62,32,9,0,9,3,0.443
bitter_gourd,ampalaya_oblong,dry,32.2,69.9,7.3,69.5,none,3,392.3,63,55,15,1,12,6,0.562
sponge_gourd,patola_smooth,dry,25.6,67.4,7.2,69.4,mixed,5,356.7,52,33,14,1,10,9,0.698
bottle_gourd,upo_long,wet,29.1,74.5,6.7,66.4,organic,4,744.9,100,102,30,1,26,13,0.587
squash,kalabasa_hybrid,wet,31.4,75.8,6.0,61.9,mixed,4,376.7,72,34,12,0,8,5,0.54
cucumber,pipino,dry,32.7,64.0,8.1,51.2,none,4,661.0,100,64,30,1,29,16,0.467
bottle_gourd,upo_long,dry,33.0,61.0,8.4,66.0,mixed,4,460.8,75,34,13,0,12,5,0.469
squash,kalabasa_hybrid,wet,28.2,75.9,6.7,56.1,none,3,451.9,73,19,5,0,1,1,0.35
cucumber,pipino,dry,24.5,58.8,7.9,59.8,organic,4,208.9,40,14,9,0,9,4,0.534
cucumber,pipino_native,dry,30.5,61.0,8.0,74.9,mixed,4,372.8,69,56,29,1,29,18,0.569
squash,kalabasa,dry,26.2,68.4,9.6,54.1,organic,4,874.6,100,96,28,1,25,18,0.626
cucumber,pipino_native,wet,27.2,71.6,4.2,52.6,organic,4,232.8,38,30,18,1,14,11,0.769
sponge_gourd,patola_smooth,dry,31.9,58.8,9.1,69.4,mixed,4,413.6,77,19,7,1,7,5,0.521
cucumber,pipino_japanese,dry,28.4,74.0,7.7,51.9,mixed,5,491.2,88,62,30,1,29,22,0.756
bitter_gourd,ampalaya_hybrid,wet,31.5,88.4,6.5,53.6,none,3,306.6,54,31,9,1,8,0,0.308
cucumber,pipino_japanese,dry,26.2,62.1,9.3,78.1,mixed,5,440.4,73,45,21,1,21,13,0.674
cucumber,pipino,wet,27.7,80.8,5.7,57.8,mixed,4,240.1,45,20,10,1,6,4,0.655
squash,kalabasa_native,wet,31.7,88.6,5.9,60.0,none,4,353.2,54,29,11,1,11,5,0.421
squash,kalabasa_hybrid,wet,30.8,75.4,4.1,54.5,none,4,842.9,100,82,21,1,17,9,0.442
bottle_gourd,upo_round,dry,27.9,66.8,9.7,79.2,chemical,4,954.2,100,72,26,1,23,12,0.517
bitter_gourd,ampalaya_oblong,dry,30.4,70.2,7.3,69.1,mixed,4,358.2,60,53,19,0,16,10,0.595
squash,kalabasa,wet,32.0,70.5,4.4,50.4,organic,5,661.7,100,75,30,1,30,18,0.669
squash,kalabasa_hybrid,dry,32.1,70.4,7.7,63.2,none,4,523.6,81,22,8,0,7,1,0.389
sponge_gourd,patola,dry,31.3,63.7,9.5,66.8,mixed,5,1007.8,100,80,30,0,27,13,0.514
cucumber,pipino,dry,28.2,72.5,7.1,69.0,organic,4,277.3,52,24,13,1,13,7,0.691
bottle_gourd,upo_long,wet,26.2,82.1,6.6,67.0,organic,4,606.2,96,65,26,1,24,13,0.613
squash,kalabasa_native,wet,28.2,87.9,6.5,62.7,chemical,3,573.3,98,71,20,1,18,8,0.431
squash,kalabasa_hybrid,wet,31.4,75.8,4.7,66.2,mixed,4,286.1,53,10,3,1,2,0,0.659
sponge_gourd,patola_smooth,dry,26.6,66.6,9.7,71.1,chemical,4,497.1,89,67,30,1,28,12,0.503
sponge_gourd,patola,wet,31.7,74.4,6.6,54.8,none,3,232.4,43,11,5,1,2,2,0.411
cucumber,pipino_japanese,dry,32.4,69.6,7.1,55.2,mixed,5,474.1,69,74,30,0,28,14,0.532
bottle_gourd,upo_long,wet,29.1,76.4,4.7,59.8,mixed,4,708.2,100,78,30,1,28,21,0.676
bottle_gourd,upo_long,wet,26.9,83.6,6.2,62.7,none,4,500.3,87,87,25,1,21,7,0.386
bitter_gourd,ampalaya_oblong,wet,28.8,84.4,6.4,70.9,mixed,3,198.0,35,4,1,1,1,1,0.618
sponge_gourd,patola_ridged,dry,25.5,72.3,9.1,73.8,mixed,4,427.7,78,12,5,1,3,0,0.616
sponge_gourd,patola,wet,28.8,83.5,6.4,79.5,chemical,4,667.2,100,63,26,0,24,11,0.375
squash,kalabasa,wet,28.7,76.9,5.1,71.2,none,4,384.3,71,36,10,1,10,3,0.53
bottle_gourd,upo_long,wet,29.1,82.7,4.5,65.0,organic,4,907.1,100,73,25,1,25,18,0.646
bitter_gourd,ampalaya_bilog,dry,34.9,60.2,9.6,52.7,none,3,201.0,35,25,7,1,5,2,0.435
bitter_gourd,ampalaya_hybrid,wet,28.8,85.8,4.7,62.6,none,3,327.4,54,41,11,1,9,1,0.376
bitter_gourd,ampalaya_bilog,wet,27.4,81.5,6.6,76.6,none,3,313.9,41,15,4,1,4,4,0.409
sponge_gourd,patola_ridged,wet,26.1,82.6,4.7,59.8,chemical,4,259.4,42,21,9,1,7,6,0.676
bitter_gourd,ampalaya_bilog,dry,32.2,64.9,7.4,78.7,chemical,3,286.5,44,17,6,1,6,3,0.518
cucumber,pipino,wet,28.4,81.7,6.5,68.1,none,3,190.4,36,31,14,0,12,5,0.364
bottle_gourd,upo_smooth,wet,28.0,74.2,4.4,56.7,mixed,5,484.9,82,20,7,1,5,4,0.716
squash,kalabasa_hybrid,wet,27.7,88.3,5.9,68.4,mixed,4,433.0,74,13,5,0,5,0,0.496
bitter_gourd,ampalaya_hybrid,wet,27.0,75.4,4.1,71.6,none,3,430.3,64,68,27,0,23,7,0.353
bottle_gourd,upo_round,wet,30.6,74.6,6.9,74.8,none,4,605.8,99,45,16,1,16,9,0.492
sponge_gourd,patola_ridged,wet,26.8,89.9,4.2,52.0,none,5,729.8,100,69,28,1,24,8,0.417
bottle_gourd,upo_long,wet,30.0,86.0,4.0,51.7,mixed,4,581.2,99,50,21,1,18,9,0.582
bitter_gourd,ampalaya_hybrid,wet,27.3,83.8,4.3,68.6,mixed,5,306.9,47,14,4,0,2,2,0.664
sponge_gourd,patola_smooth,wet,29.0,80.3,5.3,72.7,organic,4,289.5,46,19,9,1,7,3,0.684
squash,kalabasa_hybrid,wet,31.9,84.2,4.7,78.7,chemical,4,491.4,84,47,14,1,14,8,0.479
cucumber,pipino,wet,29.2,82.3,4.6,54.2,organic,4,424.2,61,56,30,1,29,16,0.585
bottle_gourd,upo_long,wet,27.0,75.8,5.1,76.0,none,3,391.0,66,16,7,1,6,1,0.363
bottle_gourd,upo_smooth,wet,30.8,72.7,6.5,61.5,chemical,4,581.2,100,47,23,0,22,9,0.376
sponge_gourd,patola,wet,27.2,84.5,4.2,71.5,none,3,415.1,71,50,18,1,18,10,0.428
sponge_gourd,patola_ridged,wet,26.9,88.0,4.2,55.5,mixed,4,588.1,100,58,23,1,22,11,0.537
bottle_gourd,upo_long,wet,30.9,89.8,6.1,57.5,chemical,4,726.5,100,78,30,0,28,13,0.454
cucumber,pipino_native,wet,26.2,73.8,6.9,69.9,mixed,5,495.7,84,73,30,1,30,20,0.619
bottle_gourd,upo_round,dry,25.1,74.7,9.2,51.9,organic,4,277.0,55,4,2,0,2,1,0.581
bottle_gourd,upo_long,wet,26.4,84.2,4.5,70.6,mixed,4,533.2,91,40,19,1,15,8,0.631
squash,kalabasa_native,dry,28.8,69.8,7.2,76.6,none,4,282.5,39,23,6,1,5,1,0.446
squash,kalabasa_native,wet,29.2,74.8,6.3,70.7,organic,4,1000.9,100,90,25,1,22,16,0.632
cucumber,pipino_native,wet,26.6,88.8,4.3,53.9,chemical,3,182.4,34,7,3,0,1,0,0.36
cucumber,pipino_native,dry,24.2,61.7,8.7,67.2,mixed,4,200.4,28,15,7,0,7,2,0.492
bottle_gourd,upo_smooth,dry,26.4,61.4,7.1,58.5,organic,4,366.9,66,29,12,1,9,4,0.562
bitter_gourd,ampalaya_hybrid,wet,30.4,73.2,6.6,60.5,organic,4,610.3,100,111,30,0,30,14,0.514
bottle_gourd,upo_round,wet,27.7,74.7,5.0,53.6,chemical,3,348.5,66,10,3,0,1,1,0.506
squash,kalabasa,dry,32.7,57.1,8.2,51.8,mixed,5,698.6,100,35,9,1,8,4,0.513
bitter_gourd,ampalaya_oblong,dry,25.6,66.4,8.6,77.1,mixed,3,392.9,72,45,12,1,12,5,0.542
sponge_gourd,patola_ridged,dry,29.9,61.9,10.0,71.3,none,3,253.2,45,12,6,1,2,0,0.325
sponge_gourd,patola_ridged,wet,29.0,89.5,6.1,51.2,mixed,4,323.3,59,28,12,1,10,6,0.56
bottle_gourd,upo_smooth,wet,29.5,72.0,5.6,70.4,chemical,4,721.8,100,51,16,1,12,6,0.633
sponge_gourd,patola_ridged,wet,28.2,77.5,6.9,68.3,mixed,3,292.3,52,46,18,0,16,9,0.519
bottle_gourd,upo_smooth,dry,24.2,71.9,8.4,55.1,mixed,5,508.5,80,29,13,1,12,5,0.593
squash,kalabasa_hybrid,dry,27.8,69.0,7.6,71.0,organic,5,974.5,100,83,30,0,27,19,0.621
cucumber,pipino_japanese,wet,26.5,74.3,6.3,55.3,mixed,5,409.9,73,74,30,0,29,18,0.562
bottle_gourd,upo_round,dry,31.4,55.0,7.3,52.5,mixed,4,648.0,100,71,25,1,21,11,0.534
bottle_gourd,upo_smooth,dry,26.7,63.3,9.5,51.8,none,5,492.9,88,23,10,0,9,5,0.368
bitter_gourd,ampalaya_oblong,dry,32.2,56.1,10.0,57.0,none,4,643.8,98,119,30,1,26,11,0.41
bitter_gourd,ampalaya_hybrid,wet,28.5,88.0,5.0,78.5,organic,4,249.4,45,32,10,0,9,3,0.478
bottle_gourd,upo_long,dry,27.7,59.6,9.4,67.5,organic,4,603.9,100,67,20,1,18,9,0.6
squash,kalabasa,wet,28.3,85.6,6.9,55.3,chemical,4,480.8,68,14,5,0,5,1,0.505
squash,kalabasa,dry,28.6,68.5,7.5,75.8,none,4,616.4,100,47,13,1,13,7,0.412
squash,kalabasa,wet,31.5,77.2,4.8,69.2,chemical,4,350.9,52,27,10,0,9,4,0.522
bitter_gourd,ampalaya_oblong,dry,28.7,73.7,7.9,62.8,mixed,4,525.8,87,84,28,1,25,14,0.64
cucumber,pipino_japanese,dry,31.9,67.5,8.2,72.8,mixed,3,216.2,37,8,5,1,3,2,0.559
sponge_gourd,patola_smooth,dry,33.9,73.0,7.8,78.8,organic,4,209.3,41,15,5,0,1,1,0.612
bottle_gourd,upo_round,dry,34.1,56.9,9.2,73.6,organic,4,977.9,100,72,30,0,30,17,0.549
cucumber,pipino_japanese,dry,33.0,65.6,9.3,73.4,chemical,4,514.4,78,59,30,1,30,14,0.453
squash,kalabasa_native,dry,24.5,59.8,8.9,76.5,chemical,3,550.7,90,38,12,1,9,3,0.434
bottle_gourd,upo_round,dry,34.4,74.3,9.3,65.3,mixed,4,671.1,100,32,13,0,12,5,0.554
sponge_gourd,patola,wet,31.7,73.0,6.1,76.2,none,4,543.3,84,76,30,0,27,12,0.383
squash,kalabasa,wet,30.7,71.3,5.8,70.6,chemical,4,574.2,92,118,30,1,28,16,0.591
bitter_gourd,ampalaya_bilog,wet,27.0,83.2,4.3,74.2,none,3,248.5,33,20,6,1,2,0,0.404
squash,kalabasa,wet,29.6,77.0,4.5,72.8,mixed,3,410.9,75,21,6,1,3,3,0.557
sponge_gourd,patola_ridged,dry,25.2,71.3,7.8,60.4,none,3,598.4,100,57,21,0,20,7,0.352
sponge_gourd,patola_smooth,dry,31.4,55.2,7.1,69.9,chemical,3,534.1,92,76,28,1,28,15,0.518
cucumber,pipino,wet,28.0,81.1,6.4,56.3,chemical,4,122.5,18,8,4,1,2,1,0.485
cucumber,pipino_native,dry,27.7,56.7,9.6,67.4,chemical,3,117.3,25,16,8,0,7,4,0.409
bottle_gourd,upo_round,dry,32.7,66.6,8.0,77.4,mixed,4,842.7,100,73,30,1,28,19,0.593
cucumber,pipino_japanese,dry,27.2,62.8,9.5,62.3,organic,3,235.5,37,23,11,0,10,3,0.494
sponge_gourd,patola_smooth,dry,29.8,72.9,7.1,74.3,none,4,385.9,59,35,15,1,14,5,0.499
cucumber,pipino_native,wet,28.6,73.2,6.8,58.0,organic,4,550.3,98,53,28,0,25,14,0.476
bitter_gourd,ampalaya_hybrid,wet,27.2,88.0,5.9,53.6,mixed,4,443.8,72,37,13,1,9,7,0.615
bitter_gourd,ampalaya_oblong,dry,34.8,74.6,9.9,51.4,chemical,4,398.3,70,63,22,1,18,9,0.531
cucumber,pipino,dry,30.8,59.0,9.5,55.7,organic,4,153.8,22,20,9,0,5,1,0.549
bottle_gourd,upo_long,wet,28.6,89.3,6.8,67.5,mixed,4,628.4,100,70,25,0,23,13,0.464
sponge_gourd,patola,wet,28.2,75.9,5.7,74.0,chemical,3,392.1,70,79,28,0,27,11,0.45
bottle_gourd,upo_smooth,dry,29.0,71.3,9.9,66.3,none,3,409.1,69,45,15,0,13,6,0.393
squash,kalabasa_hybrid,dry,31.9,70.9,9.0,50.2,chemical,4,282.7,48,10,3,1,2,0,0.48
bitter_gourd,ampalaya_oblong,wet,31.3,87.6,6.4,62.8,organic,3,320.7,49,34,13,1,9,4,0.539
bitter_gourd,ampalaya_oblong,wet,27.4,81.7,6.3,65.0,mixed,4,336.7,62,44,13,1,12,10,0.629
cucumber,pipino,dry,26.8,67.4,9.5,65.2,none,3,195.9,37,31,14,1,12,4,0.399
squash,kalabasa_hybrid,dry,26.1,68.5,9.3,67.6,none,4,406.9,67,39,13,1,11,6,0.451
bottle_gourd,upo_smooth,dry,30.5,56.7,9.6,75.5,chemical,5,716.5,100,56,26,0,25,12,0.505
bitter_gourd,ampalaya_bilog,dry,27.7,63.0,8.8,60.8,none,4,559.0,90,102,30,1,27,7,0.331
sponge_gourd,patola,wet,26.3,78.4,5.2,59.0,organic,4,387.5,64,17,8,0,6,5,0.457
sponge_gourd,patola_smooth,wet,28.5,85.3,4.9,59.4,mixed,5,999.3,100,60,30,0,30,17,0.64
cucumber,pipino,dry,28.0,66.2,7.1,50.1,organic,4,340.3,55,49,29,0,25,15,0.679
sponge_gourd,patola_smooth,wet,29.8,78.3,6.2,70.2,mixed,5,669.3,100,63,22,0,18,10,0.589
bottle_gourd,upo_long,dry,33.6,69.1,7.2,62.1,mixed,3,647.8,100,47,18,1,17,11,0.611
cucumber,pipino,wet,27.6,80.0,5.6,50.7,none,4,366.3,56,45,25,0,25,12,0.429
cucumber,pipino,dry,28.2,61.8,8.7,66.5,organic,3,349.4,64,42,23,1,20,13,0.623
bottle_gourd,upo_round,dry,34.6,67.9,9.0,76.1,mixed,3,415.3,64,49,16,0,15,7,0.535
sponge_gourd,patola_ridged,wet,26.4,89.1,5.0,55.4,none,3,325.2,56,28,10,0,6,3,0.383
bottle_gourd,upo_smooth,dry,26.2,66.0,9.7,78.3,organic,4,347.8,56,17,5,1,3,3,0.818
bitter_gourd,ampalaya_hybrid,dry,27.4,67.2,8.6,62.4,chemical,4,461.1,76,98,30,1,26,13,0.513
squash,kalabasa_hybrid,dry,30.3,57.3,9.8,74.3,none,3,533.5,92,52,19,1,16,8,0.38
sponge_gourd,patola,wet,28.1,86.4,5.7,66.7,none,4,690.1,100,71,30,1,30,13,0.443
sponge_gourd,patola_ridged,dry,32.0,72.8,9.2,54.8,chemical,3,328.1,57,15,6,0,6,1,0.432
sponge_gourd,patola_ridged,dry,30.8,68.0,9.6,70.2,mixed,4,353.5,54,43,16,0,16,6,0.507
squash,kalabasa_native,dry,28.6,62.6,8.9,50.9,chemical,5,758.1,100,81,24,1,23,14,0.541
sponge_gourd,patola_ridged,wet,31.9,83.1,6.9,76.4,chemical,3,566.7,100,63,26,0,26,13,0.512
bitter_gourd,ampalaya_bilog,wet,30.5,86.2,6.8,74.5,organic,4,479.9,83,95,30,0,28,17,0.532
squash,kalabasa,wet,26.3,83.3,5.8,73.5,chemical,3,564.7,92,84,23,1,20,9,0.389
sponge_gourd,patola_ridged,dry,25.9,65.5,7.5,53.6,mixed,4,344.6,59,37,15,1,11,9,0.612
sponge_gourd,patola_smooth,dry,24.7,60.3,7.5,76.6,none,3,263.8,47,15,6,0,2,2,0.3
sponge_gourd,patola_ridged,dry,33.9,61.8,9.1,71.0,none,3,222.8,39,32,12,0,10,3,0.349
bottle_gourd,upo_long,wet,30.4,76.5,4.6,70.5,none,4,265.5,47,6,2,1,1,1,0.372
bitter_gourd,ampalaya_hybrid,wet,26.4,84.9,6.7,69.0,chemical,4,387.3,59,64,17,1,17,7,0.518
bitter_gourd,ampalaya_oblong,wet,27.1,87.9,6.1,73.2,none,3,427.7,72,60,21,1,20,7,0.344
bitter_gourd,ampalaya_hybrid,dry,25.3,72.9,9.0,53.3,mixed,3,424.1,75,83,22,1,22,12,0.587
sponge_gourd,patola_smooth,wet,26.5,85.3,6.1,52.9,mixed,5,788.6,100,64,30,1,30,19,0.689
bottle_gourd,upo_long,dry,32.8,68.0,9.5,64.0,none,3,618.8,100,57,22,1,19,7,0.338
bitter_gourd,ampalaya_oblong,wet,27.4,81.2,4.2,56.6,organic,4,602.1,96,79,29,1,28,21,0.702
bottle_gourd,upo_round,dry,29.0,58.0,10.0,70.0,chemical,4,687.9,100,83,24,1,23,16,0.594
squash,kalabasa_native,wet,31.5,76.8,4.5,66.3,mixed,4,555.8,95,26,7,1,6,2,0.582
bottle_gourd,upo_smooth,wet,31.1,87.0,5.6,77.1,none,3,496.6,86,19,6,1,6,2,0.331
sponge_gourd,patola_smooth,dry,33.7,65.6,7.8,63.4,chemical,4,486.6,85,69,26,0,23,10,0.516
bottle_gourd,upo_long,wet,30.8,74.1,6.3,67.2,mixed,4,604.0,99,54,20,1,17,12,0.57
cucumber,pipino,dry,28.8,58.9,8.7,52.7,mixed,3,137.5,28,2,1,1,1,1,0.593
cucumber,pipino,wet,27.5,88.1,4.0,61.3,organic,5,839.4,100,50,30,1,28,17,0.609
cucumber,pipino_native,dry,27.9,59.7,9.8,73.4,chemical,4,199.7,23,14,9,1,9,3,0.581
squash,kalabasa_hybrid,wet,30.9,73.6,6.3,67.0,chemical,3,579.5,87,57,16,0,16,8,0.488
bottle_gourd,upo_round,wet,30.4,75.4,5.9,50.3,chemical,4,626.6,100,66,30,1,30,18,0.529
sponge_gourd,patola_ridged,wet,27.7,85.0,4.0,70.3,mixed,4,369.1,63,38,13,0,11,6,0.541
bottle_gourd,upo_long,wet,28.7,71.7,6.9,57.7,chemical,4,537.6,84,25,10,1,9,6,0.525
sponge_gourd,patola_smooth,dry,27.8,66.6,8.1,77.7,organic,5,704.4,100,51,24,0,24,15,0.563
bottle_gourd,upo_long,dry,27.0,70.4,8.4,72.8,none,4,745.9,100,71,22,0,18,10,0.426
cucumber,pipino,dry,32.2,57.0,8.8,55.9,organic,4,315.7,60,48,28,1,27,18,0.651
sponge_gourd,patola_ridged,wet,30.1,84.3,6.3,66.7,mixed,4,472.2,73,87,30,1,27,15,0.554
cucumber,pipino,dry,27.9,66.7,9.5,54.6,mixed,4,505.4,82,74,30,1,28,16,0.65
sponge_gourd,patola_smooth,wet,29.1,76.4,5.9,53.2,chemical,4,648.3,100,87,30,1,26,15,0.662
squash,kalabasa_hybrid,wet,29.6,83.2,5.5,66.8,mixed,4,841.1,100,90,30,1,28,17,0.625
bottle_gourd,upo_round,wet,30.8,81.9,6.9,55.1,mixed,3,387.0,61,78,23,1,19,11,0.494
cucumber,pipino_japanese,dry,26.4,58.1,7.2,58.0,none,3,358.5,61,53,23,1,22,12,0.474
bottle_gourd,upo_smooth,wet,31.4,85.0,4.6,64.1,chemical,5,773.9,100,104,30,1,26,14,0.496
bitter_gourd,ampalaya_oblong,wet,28.0,87.7,4.9,52.6,mixed,4,381.9,56,41,16,1,12,9,0.592
squash,kalabasa_native,dry,28.1,69.1,8.6,57.4,none,3,451.7,76,22,6,1,5,4,0.419
squash,kalabasa_hybrid,wet,26.6,76.9,5.2,66.7,none,4,462.0,74,20,8,0,8,3,0.356
bitter_gourd,ampalaya_oblong,wet,26.1,88.5,5.4,60.7,organic,4,233.3,35,9,3,1,2,1,0.672
squash,kalabasa_native,dry,26.9,55.6,7.1,53.9,organic,4,954.6,100,108,28,1,25,12,0.565
bottle_gourd,upo_long,wet,26.7,85.9,5.5,62.4,none,4,397.0,71,15,6,1,2,0,0.447
sponge_gourd,patola_smooth,dry,32.2,67.7,7.2,64.5,organic,4,259.9,42,6,3,1,1,0,0.645
cucumber,pipino,dry,28.6,57.8,7.5,71.2,chemical,3,272.6,45,35,16,0,16,9,0.455
bitter_gourd,ampalaya_oblong,dry,30.5,61.0,9.2,54.9,organic,4,726.5,100,84,30,1,28,19,0.648
bottle_gourd,upo_long,wet,27.4,81.5,6.4,64.0,organic,4,630.2,100,82,29,1,29,20,0.616
bitter_gourd,ampalaya_hybrid,dry,32.4,55.2,8.7,57.9,mixed,5,494.7,84,40,13,1,10,9,0.703
squash,kalabasa,wet,30.3,72.7,6.1,77.0,chemical,4,477.3,80,13,5,1,2,0,0.567
sponge_gourd,patola_ridged,wet,27.6,79.8,5.1,74.3,mixed,4,393.4,60,51,24,1,24,14,0.564
cucumber,pipino_japanese,dry,26.7,69.4,8.0,59.4,organic,5,510.5,91,45,30,0,30,20,0.634
squash,kalabasa,wet,29.0,76.7,5.3,51.8,none,3,315.4,51,38,10,0,10,2,0.432
bitter_gourd,ampalaya_hybrid,wet,26.1,83.8,5.9,54.5,none,4,317.3,43,9,3,1,1,0,0.427
bottle_gourd,upo_round,wet,28.3,76.3,4.5,76.3,mixed,4,671.6,100,82,30,0,28,15,0.571
bitter_gourd,ampalaya_hybrid,wet,28.8,78.3,6.6,54.5,organic,4,344.9,68,33,11,0,9,5,0.592
squash,kalabasa_hybrid,wet,26.2,73.8,6.8,57.8,mixed,5,879.8,100,85,30,1,30,18,0.68
squash,kalabasa_native,dry,30.8,65.7,9.0,67.1,none,4,709.0,100,72,22,0,20,5,0.37
sponge_gourd,patola_smooth,dry,25.3,63.8,8.7,55.0,organic,4,901.1,100,63,30,1,27,19,0.627
sponge_gourd,patola,wet,29.6,76.6,4.4,75.2,organic,4,420.2,68,64,25,1,21,15,0.645
bottle_gourd,upo_round,wet,28.5,85.2,6.6,68.8,none,3,375.3,58,31,10,1,7,1,0.423
sponge_gourd,patola_ridged,dry,32.7,74.3,9.1,54.6,chemical,4,365.6,66,59,22,1,20,12,0.585
cucumber,pipino_japanese,wet,27.3,89.9,6.3,50.6,none,4,282.3,49,20,9,1,9,6,0.395
cucumber,pipino_japanese,wet,31.4,85.4,5.3,53.9,none,4,192.4,25,35,15,1,14,5,0.372
bitter_gourd,ampalaya_oblong,dry,29.2,71.2,8.8,66.8,chemical,3,185.0,34,10,3,0,2,0,0.413
