plant_type,plant_age,temperature,humidity,sunlight_hours,soil_ph,soil_type,watering_frequency,fertilizer_type,fertilizer_frequency,pest_control,height,leaf_count,stem_thickness,health_rating,male_flowers,female_flowers
kalabasa,48,24.7,91.6,8.3,6.2,loamy,4,organic,2,intensive,520.1,36,9.9,4,28,3
cucumber,36,31.6,53.8,3.4,6.5,loamy,6,chemical,2,as-needed,193.4,56,22.6,3,16,3
patola,35,25.9,90.8,6.6,6.1,loamy,5,mixed,2,regular,361.7,10,10.8,2,15,10
kalabasa,102,18.7,73.6,6.3,7.5,loamy,4,organic,2,as-needed,226.0,54,18.7,4,13,8
ampalaya_bilog,44,28.4,68.3,3.4,6.6,clay,5,organic,0,regular,207.9,31,7.0,2,18,4
patola,54,27.5,61.3,10.6,6.5,loamy,4,chemical,3,intensive,343.7,14,11.9,4,16,6
patola,62,24.9,46.9,11.4,6.2,clay,4,mixed,0,regular,329.9,69,12.9,4,21,9
kalabasa,82,30.8,76.6,6.3,6.6,loamy,4,chemical,2,regular,182.4,25,5.3,2,19,3
ampalaya_bilog,52,31.0,89.9,6.2,6.6,clay,4,mixed,1,as-needed,305.7,72,18.7,5,34,15
upo_smooth,33,29.0,66.4,7.4,6.8,loamy,6,chemical,3,regular,154.8,79,8.2,4,29,13
ampalaya_bilog,56,29.5,45.3,5.5,6.5,silty,6,chemical,2,regular,249.9,28,13.2,4,24,9
ampalaya_bilog,68,27.1,66.5,7.5,6.0,loamy,4,mixed,0,regular,250.6,61,13.6,4,44,20
kalabasa,50,28.8,44.3,6.0,6.3,sandy,5,mixed,3,regular,295.0,41,21.9,2,20,5
patola,52,26.8,70.1,11.4,6.2,sandy,8,chemical,2,as-needed,109.2,20,5.1,4,25,10
kalabasa,53,26.9,66.2,6.1,6.6,silty,6,none,2,intensive,347.4,75,22.7,5,30,10
kalabasa,86,24.0,90.2,7.9,6.7,loamy,5,chemical,0,none,166.8,29,19.9,4,23,4
kalabasa,32,22.4,87.6,7.4,7.1,loamy,4,mixed,2,as-needed,198.9,27,10.5,3,26,8
upo_smooth,57,24.5,75.5,7.9,6.6,loamy,5,none,1,as-needed,123.9,42,15.5,4,43,19
ampalaya_bilog,58,25.1,61.8,11.6,6.5,loamy,4,organic,2,regular,270.6,65,20.8,2,16,9
upo_smooth,41,28.0,85.1,6.7,5.7,silty,6,chemical,2,regular,269.2,55,11.1,4,32,24
cucumber,36,36.6,74.9,7.7,6.6,sandy,6,organic,2,intensive,137.3,34,10.3,2,17,3
patola,25,38.1,93.5,7.8,6.0,clay,6,organic,2,regular,235.8,65,17.8,4,11,6
ampalaya_bilog,57,29.4,70.2,11.8,5.2,clay,5,organic,2,regular,137.0,67,18.0,3,19,12
upo_smooth,66,25.0,73.5,9.0,6.0,loamy,4,chemical,2,regular,298.2,51,11.7,2,20,10
ampalaya_bilog,54,29.1,48.3,7.8,6.3,loamy,2,chemical,3,as-needed,327.6,15,18.2,3,14,2
kalabasa,61,29.7,86.9,7.0,6.8,clay,3,mixed,2,intensive,419.2,34,7.3,4,32,10
patola,30,21.4,78.5,6.8,7.4,loamy,5,chemical,1,intensive,342.4,11,13.4,3,16,9
cucumber,53,22.9,79.7,3.3,6.4,silty,5,organic,1,as-needed,229.2,26,19.2,3,15,10
cucumber,52,24.8,78.5,7.4,6.7,loamy,4,organic,2,regular,139.9,72,13.0,4,43,22
patola,25,29.6,71.5,7.3,6.2,silty,3,none,3,intensive,176.3,20,9.5,4,23,10
kalabasa,45,24.3,68.7,9.4,7.0,clay,7,organic,3,intensive,149.2,11,9.2,3,29,9
cucumber,36,22.7,75.3,7.6,6.0,loamy,6,organic,1,regular,135.8,73,20.3,3,44,17
patola,58,29.6,44.2,7.1,6.6,silty,4,none,2,intensive,379.6,66,10.4,3,15,3
ampalaya_bilog,58,25.1,73.9,6.5,6.5,loamy,5,chemical,1,regular,263.0,55,8.1,3,22,13
patola,50,25.4,50.1,7.7,6.5,sandy,6,organic,1,regular,181.4,28,17.1,5,34,11
patola,36,29.3,86.8,6.0,6.0,silty,4,chemical,3,as-needed,206.7,45,16.7,3,23,5
kalabasa,58,30.5,69.0,6.7,6.5,loamy,5,chemical,2,as-needed,158.7,58,11.9,4,29,14
patola,63,19.0,68.4,7.9,7.7,loamy,4,organic,1,intensive,199.4,67,24.9,4,29,6
ampalaya_bilog,72,37.0,67.8,6.2,7.1,loamy,5,chemical,1,as-needed,203.0,37,21.4,3,22,8
ampalaya_bilog,69,24.3,60.2,9.7,6.8,loamy,6,mixed,3,as-needed,136.6,43,5.1,1,15,12
kalabasa,47,25.3,62.4,6.6,6.5,clay,4,organic,4,regular,184.5,40,11.6,2,31,10
cucumber,23,26.0,94.1,5.9,6.8,sandy,2,none,2,as-needed,154.1,76,9.0,2,3,2
patola,56,26.7,60.6,7.4,8.0,silty,4,chemical,0,regular,280.9,67,11.1,5,35,19
cucumber,87,20.1,46.5,6.6,6.4,loamy,2,chemical,2,regular,125.0,19,12.2,4,19,7
upo_smooth,44,27.8,66.2,7.3,6.5,silty,5,chemical,4,regular,303.5,12,12.5,4,44,28
upo_smooth,54,21.0,77.3,6.7,6.4,loamy,2,organic,2,none,422.2,55,7.7,4,41,17
upo_smooth,54,23.9,60.3,8.6,7.4,loamy,4,chemical,3,as-needed,429.2,53,5.1,3,42,14
upo_smooth,60,31.7,73.8,6.9,6.2,clay,3,chemical,2,intensive,354.0,56,22.7,5,55,22
upo_smooth,60,27.2,58.5,6.1,6.2,clay,7,organic,0,none,164.6,17,20.0,3,29,16
patola,64,29.1,83.5,6.4,7.4,clay,6,organic,4,regular,126.1,43,18.3,2,18,9
cucumber,22,31.7,44.9,7.0,6.7,loamy,7,chemical,3,as-needed,158.5,24,8.7,3,12,5
ampalaya_bilog,55,19.5,61.0,6.1,6.7,sandy,4,organic,2,as-needed,105.6,53,13.3,4,24,7
upo_smooth,53,29.8,64.9,6.5,6.0,loamy,4,organic,4,as-needed,392.5,41,19.4,2,33,13
kalabasa,33,29.3,62.6,9.4,6.4,sandy,5,organic,3,as-needed,382.0,75,16.3,1,4,4
cucumber,46,24.5,62.4,6.8,7.8,silty,3,organic,4,none,69.3,69,12.6,4,45,23
ampalaya_bilog,55,26.6,71.7,11.0,6.1,silty,4,chemical,4,intensive,152.9,24,6.6,4,29,14
kalabasa,41,31.2,61.1,6.8,7.0,clay,5,chemical,3,regular,386.0,32,22.5,4,38,16
cucumber,83,19.8,50.0,6.3,6.6,loamy,5,none,3,as-needed,75.5,63,11.6,4,15,7
kalabasa,52,26.8,79.2,8.0,6.7,clay,3,chemical,4,as-needed,273.6,18,15.2,3,25,12
cucumber,72,23.1,65.7,7.8,6.5,silty,4,chemical,3,intensive,244.6,62,17.7,3,21,18
patola,46,30.0,63.9,7.6,6.7,silty,6,chemical,2,none,153.6,78,20.4,1,1,5
kalabasa,49,36.7,78.9,8.4,6.6,loamy,4,mixed,2,as-needed,254.7,67,17.7,2,13,4
cucumber,31,19.5,79.2,6.2,6.1,clay,5,chemical,2,intensive,125.1,29,24.2,2,22,13
patola,48,37.8,63.2,10.7,6.0,loamy,3,chemical,3,regular,216.1,38,10.2,3,19,3
cucumber,62,20.8,64.6,6.9,6.6,silty,4,chemical,4,as-needed,122.4,63,13.9,3,34,17
cucumber,50,33.5,67.8,7.7,8.0,loamy,4,none,1,regular,199.6,27,23.5,4,25,8
cucumber,36,37.5,70.2,7.0,6.0,loamy,7,organic,1,intensive,123.3,30,23.5,3,38,9
ampalaya_bilog,57,29.1,79.3,7.5,6.5,loamy,3,chemical,2,regular,154.7,51,13.9,4,42,15
cucumber,40,27.8,76.8,7.1,6.1,clay,4,organic,1,none,162.2,68,7.6,3,34,10
kalabasa,52,27.8,78.3,7.7,6.3,silty,2,mixed,3,as-needed,294.7,69,16.2,4,38,8
patola,48,16.4,50.9,4.1,6.0,clay,3,chemical,0,regular,328.1,52,9.0,3,13,10
kalabasa,52,28.7,94.6,7.3,7.9,loamy,3,organic,1,intensive,337.1,52,14.7,3,24,8
ampalaya_bilog,50,30.1,63.8,7.1,6.5,silty,4,organic,2,as-needed,156.2,78,22.4,3,27,12
patola,61,29.3,86.8,6.6,6.5,sandy,6,mixed,2,regular,332.3,29,14.8,2,21,10
ampalaya_bilog,22,19.6,67.5,3.6,6.1,loamy,4,mixed,3,as-needed,296.1,70,20.3,2,7,2
cucumber,55,23.7,79.5,6.9,5.9,loamy,4,chemical,3,regular,122.3,34,8.0,5,43,26
kalabasa,96,24.5,75.1,7.1,6.4,loamy,7,mixed,2,regular,268.6,32,23.5,4,36,7
ampalaya_bilog,23,25.9,54.2,7.0,5.2,loamy,8,organic,3,regular,212.8,59,8.9,4,26,8
upo_smooth,68,24.9,55.9,6.8,6.0,clay,3,organic,0,as-needed,392.8,36,23.2,5,54,26
patola,25,27.7,77.0,8.1,7.7,loamy,4,organic,2,regular,378.0,23,6.1,4,21,13
patola,52,29.3,73.8,7.0,6.5,loamy,3,chemical,0,regular,335.3,22,7.3,5,30,19
cucumber,33,22.6,90.1,7.4,5.0,clay,4,organic,1,regular,88.0,48,23.3,4,35,19
patola,34,26.1,63.0,7.1,5.7,loamy,5,organic,1,regular,325.6,15,24.8,3,31,16
cucumber,41,25.4,66.8,8.1,6.1,silty,4,chemical,3,as-needed,69.7,18,11.8,5,35,22
kalabasa,56,27.5,79.0,6.1,5.3,loamy,5,none,1,none,296.3,74,13.3,4,28,4
kalabasa,78,26.9,64.2,6.1,7.6,loamy,4,organic,2,none,527.8,48,12.6,5,26,11
ampalaya_bilog,53,26.5,70.5,6.6,6.5,loamy,8,chemical,1,intensive,107.9,73,24.9,4,26,16
kalabasa,58,38.3,70.6,7.6,6.1,clay,6,mixed,2,as-needed,171.3,46,10.5,3,14,5
upo_smooth,92,15.4,71.4,4.4,7.2,silty,5,chemical,2,as-needed,384.9,47,9.6,2,6,9
upo_smooth,82,27.1,67.2,6.9,6.2,silty,6,organic,1,as-needed,226.4,48,5.9,5,44,21
ampalaya_bilog,55,29.6,66.9,6.4,6.1,sandy,7,chemical,4,as-needed,168.7,38,19.1,4,27,19
kalabasa,21,32.9,75.7,7.0,7.8,loamy,2,organic,1,as-needed,517.4,76,10.7,5,26,10
cucumber,24,25.3,54.1,6.8,6.0,loamy,4,organic,3,regular,145.6,13,22.8,3,23,15
cucumber,62,23.4,63.9,6.2,6.7,loamy,7,chemical,3,regular,152.4,15,7.4,4,36,20
kalabasa,24,38.1,76.9,7.5,6.8,loamy,6,organic,2,as-needed,244.4,29,12.5,1,4,7
ampalaya_bilog,69,31.2,67.5,11.6,6.5,clay,2,mixed,3,regular,95.3,46,6.1,4,25,12
upo_smooth,51,24.4,77.0,4.3,7.7,loamy,4,organic,3,intensive,256.3,75,8.2,2,29,17
ampalaya_bilog,86,32.2,64.3,6.8,6.1,clay,8,none,4,as-needed,299.0,64,16.3,4,13,8
kalabasa,54,32.0,78.3,6.8,6.8,loamy,6,chemical,2,none,253.9,68,6.9,4,38,10
upo_smooth,70,25.1,79.3,7.7,6.2,clay,4,chemical,0,regular,228.0,27,18.2,4,54,24
ampalaya_bilog,61,20.3,65.8,7.5,5.2,sandy,4,organic,4,as-needed,151.5,72,14.8,4,35,14
patola,63,29.7,83.9,6.6,6.1,loamy,5,organic,2,regular,148.2,44,20.1,3,20,14
ampalaya_bilog,60,28.3,45.4,6.9,6.2,clay,3,organic,4,regular,209.3,33,22.4,3,30,14
kalabasa,20,26.2,66.7,8.4,6.0,loamy,2,chemical,4,regular,360.0,69,5.4,2,19,6
cucumber,38,20.5,77.7,9.6,6.1,silty,4,organic,2,regular,158.6,48,17.3,4,36,25
ampalaya_bilog,47,29.0,67.9,10.8,5.9,loamy,6,chemical,3,as-needed,240.0,50,21.7,5,29,12
kalabasa,35,23.2,77.5,5.2,5.9,loamy,7,organic,4,as-needed,373.3,77,17.0,3,36,12
patola,50,20.2,78.3,7.8,6.0,loamy,2,organic,1,regular,371.1,11,9.7,5,35,11
kalabasa,52,25.2,75.2,7.2,6.6,silty,4,organic,1,as-needed,393.5,63,12.0,4,43,18
kalabasa,23,18.2,61.0,6.6,6.0,loamy,2,chemical,1,intensive,296.7,60,21.5,5,29,3
upo_smooth,39,26.4,54.3,6.4,6.2,loamy,5,none,3,regular,385.1,24,19.2,3,24,9
upo_smooth,65,28.7,76.2,7.5,6.3,loamy,7,none,1,as-needed,414.3,49,12.5,3,40,7
upo_smooth,57,30.1,68.4,6.8,6.6,clay,4,chemical,2,regular,137.6,12,7.0,3,36,16
upo_smooth,55,25.6,61.3,6.9,5.5,loamy,5,organic,2,regular,359.5,38,19.3,2,28,16
patola,50,38.8,63.9,7.7,6.1,loamy,6,chemical,2,regular,136.8,24,5.8,2,11,5
ampalaya_bilog,59,26.0,72.2,7.3,6.3,sandy,5,mixed,2,intensive,290.4,20,19.2,3,36,12
patola,51,38.7,42.5,7.8,6.8,silty,4,none,0,regular,361.7,41,22.5,4,8,3
cucumber,49,22.3,43.8,7.8,6.8,loamy,4,chemical,2,as-needed,98.9,42,15.6,4,39,16
kalabasa,38,29.4,66.1,6.0,6.4,loamy,4,chemical,2,regular,542.7,63,8.6,5,37,14
ampalaya_bilog,54,28.6,63.1,7.1,6.6,clay,3,organic,2,regular,160.0,18,18.1,5,42,23
cucumber,23,15.8,47.4,4.1,6.7,loamy,7,organic,1,regular,150.4,11,24.3,4,16,7
ampalaya_bilog,51,25.6,93.3,6.4,6.3,loamy,4,none,1,none,311.8,56,22.7,4,15,9
ampalaya_bilog,40,34.5,79.4,6.7,5.0,loamy,4,chemical,1,intensive,151.9,25,14.6,3,25,10
upo_smooth,57,26.6,62.6,6.5,6.5,sandy,5,mixed,1,as-needed,194.3,67,8.4,3,34,28
patola,30,28.0,69.2,7.0,6.1,loamy,5,organic,2,intensive,257.2,33,20.5,2,10,7
kalabasa,49,31.3,78.7,6.0,6.4,loamy,4,organic,3,as-needed,153.1,52,22.8,5,36,13
patola,45,30.1,75.4,4.4,6.0,loamy,3,none,4,as-needed,345.9,35,5.9,4,18,6
upo_smooth,34,26.0,63.6,10.1,6.0,sandy,4,none,1,regular,273.7,43,17.0,4,20,8
upo_smooth,51,21.5,47.8,6.6,6.1,silty,6,mixed,3,none,260.2,19,24.8,3,34,12
cucumber,51,37.6,78.9,6.8,6.6,loamy,4,chemical,2,regular,271.1,13,18.0,5,29,12
upo_smooth,35,26.5,61.7,6.3,6.7,silty,6,chemical,1,as-needed,279.0,51,20.6,3,28,9
cucumber,84,26.5,61.8,7.1,6.7,loamy,5,chemical,3,regular,106.0,67,23.1,2,20,8
kalabasa,89,16.7,69.5,6.6,6.0,clay,2,organic,1,as-needed,319.7,14,8.0,3,11,8
ampalaya_bilog,40,27.1,77.6,8.7,6.1,loamy,4,organic,1,as-needed,170.6,62,16.4,5,46,17
upo_smooth,68,27.2,79.1,6.4,6.7,loamy,5,chemical,2,intensive,139.1,53,9.1,3,36,23
patola,46,23.1,50.8,7.9,7.0,silty,4,mixed,4,as-needed,123.7,74,11.6,1,5,4
patola,30,26.5,77.0,6.9,6.0,silty,3,mixed,4,regular,375.8,11,12.1,3,24,13
upo_smooth,53,26.1,93.9,9.1,6.4,silty,5,organic,1,intensive,435.8,27,19.4,3,38,11
ampalaya_bilog,47,25.0,80.0,6.2,6.6,loamy,5,chemical,2,as-needed,175.3,64,16.1,1,8,8
ampalaya_bilog,56,28.1,42.4,7.1,6.7,silty,6,organic,2,as-needed,186.1,35,16.2,4,21,16
upo_smooth,69,27.3,77.6,7.1,5.8,loamy,6,chemical,2,intensive,376.8,78,22.8,2,25,10
patola,61,22.9,61.5,7.9,5.8,loamy,6,organic,3,as-needed,350.2,27,17.3,3,17,6
cucumber,37,17.5,83.1,3.4,6.1,loamy,4,chemical,1,as-needed,139.7,15,22.3,3,17,11
cucumber,62,33.1,75.2,6.9,6.1,silty,5,organic,2,none,166.9,29,11.8,2,24,10
upo_smooth,45,39.7,66.8,6.9,6.0,silty,6,none,2,regular,197.2,19,17.6,5,24,12
cucumber,79,21.6,64.1,6.3,5.5,silty,2,mixed,2,regular,258.5,35,19.1,4,36,16
cucumber,71,21.1,69.9,7.5,6.3,loamy,5,mixed,2,intensive,104.1,70,11.1,4,42,21
ampalaya_bilog,82,28.4,63.6,3.7,6.1,loamy,3,organic,0,as-needed,111.6,37,17.0,3,18,9
ampalaya_bilog,59,18.3,51.1,7.5,6.2,loamy,6,organic,1,regular,99.7,32,14.4,2,13,4
kalabasa,26,28.5,77.5,6.9,6.8,loamy,6,chemical,1,regular,195.2,58,9.8,3,23,11
cucumber,39,27.9,67.8,5.8,6.3,silty,2,chemical,3,regular,86.0,78,9.3,4,42,20
cucumber,36,22.0,66.3,7.1,5.8,loamy,5,organic,2,regular,74.7,65,10.7,3,43,19
upo_smooth,33,28.6,75.6,7.8,6.6,sandy,2,organic,2,as-needed,238.3,20,20.1,4,43,16
patola,57,30.0,74.2,5.4,6.3,loamy,6,none,2,as-needed,210.0,23,5.8,3,6,10
ampalaya_bilog,62,28.8,90.8,4.1,6.0,clay,7,mixed,1,none,285.2,74,14.2,3,21,6
kalabasa,41,24.7,77.1,4.8,6.3,clay,3,mixed,3,none,239.7,73,22.1,3,20,9
kalabasa,48,31.6,69.5,7.2,7.9,loamy,7,organic,2,regular,332.7,28,13.7,3,27,5
ampalaya_bilog,58,29.0,77.8,6.7,6.5,loamy,7,chemical,2,none,106.7,10,23.3,3,28,10
upo_smooth,59,37.7,77.3,7.7,6.1,sandy,3,organic,3,regular,425.7,49,20.0,3,39,17
kalabasa,54,31.4,63.5,4.8,5.6,silty,5,none,2,none,287.9,54,5.9,1,10,1
patola,94,25.7,63.1,7.2,5.7,loamy,5,chemical,2,as-needed,203.1,37,16.3,4,26,5
kalabasa,63,24.5,77.6,6.2,6.2,loamy,3,organic,2,as-needed,213.9,35,24.6,4,30,15
kalabasa,99,27.4,73.8,7.8,6.1,clay,5,mixed,3,none,429.5,12,16.2,4,24,11
patola,75,30.8,75.1,8.8,7.6,sandy,8,organic,1,intensive,120.6,42,20.4,3,27,8
cucumber,25,21.4,49.1,7.7,6.1,sandy,3,mixed,1,none,228.9,53,15.7,3,25,13
patola,56,30.1,73.5,6.8,6.7,loamy,5,chemical,3,intensive,357.5,52,11.4,3,30,14
upo_smooth,44,26.8,72.4,6.8,6.2,loamy,2,organic,0,intensive,143.8,76,14.8,3,44,21
kalabasa,47,34.3,67.8,7.5,6.1,loamy,5,mixed,1,regular,213.0,62,12.1,4,40,9
kalabasa,28,21.6,69.6,11.4,6.8,clay,5,organic,3,as-needed,532.4,53,11.6,4,28,10
ampalaya_bilog,44,35.4,75.1,7.1,5.3,clay,2,organic,3,none,157.8,50,16.9,4,39,14
cucumber,75,27.1,62.1,7.4,6.3,silty,4,chemical,1,regular,238.1,69,6.5,5,29,21
kalabasa,41,30.9,75.8,7.4,6.8,sandy,5,chemical,2,as-needed,529.5,42,11.7,3,26,11
patola,48,27.8,45.9,6.0,6.3,silty,6,chemical,2,regular,207.1,59,18.7,4,25,9
kalabasa,80,30.0,84.8,6.5,6.5,clay,6,organic,1,regular,256.7,25,18.7,2,28,7
kalabasa,47,25.3,78.1,6.1,6.1,loamy,4,organic,4,none,465.5,41,18.1,5,31,12
patola,80,31.1,72.7,8.6,5.8,sandy,5,mixed,2,as-needed,336.2,55,22.9,1,12,3
patola,73,25.3,67.7,7.3,7.1,silty,2,organic,1,regular,354.9,48,22.0,4,35,18
cucumber,21,22.0,63.5,8.0,6.1,loamy,6,mixed,3,none,207.5,79,19.5,3,15,19
upo_smooth,61,27.6,90.1,7.6,7.1,loamy,2,organic,2,as-needed,178.9,42,11.9,3,27,12
cucumber,73,22.8,78.3,9.6,6.4,sandy,4,organic,1,as-needed,200.4,47,13.7,2,18,15
cucumber,82,25.5,69.0,10.5,6.3,loamy,5,organic,2,regular,89.6,13,14.9,2,19,10
patola,53,27.1,74.5,7.1,6.5,clay,3,mixed,1,as-needed,114.3,48,12.6,3,25,13
patola,65,21.8,47.2,7.5,6.4,clay,5,chemical,1,as-needed,203.4,66,20.5,3,11,6
ampalaya_bilog,43,39.2,62.4,6.6,6.4,sandy,5,organic,4,intensive,247.5,19,18.7,2,14,2
kalabasa,75,26.9,66.4,7.2,6.6,loamy,4,organic,3,intensive,148.7,62,22.7,4,31,7
cucumber,46,26.5,45.6,8.1,5.1,loamy,4,organic,2,regular,266.6,28,23.8,3,31,17
kalabasa,52,24.1,63.5,6.4,5.7,loamy,3,organic,3,none,420.6,11,16.7,4,24,12
kalabasa,63,31.6,43.2,6.7,5.5,silty,3,organic,2,intensive,126.1,44,24.9,2,8,6
kalabasa,53,25.0,90.7,7.8,6.7,loamy,6,chemical,1,regular,432.5,56,14.3,1,13,3
ampalaya_bilog,61,29.5,71.3,6.1,6.8,loamy,7,organic,1,regular,160.4,46,19.0,5,43,23
kalabasa,53,29.4,61.8,7.4,5.1,sandy,3,chemical,0,as-needed,274.4,15,11.9,4,37,12
upo_smooth,55,24.0,65.1,7.6,6.4,sandy,4,chemical,1,none,282.3,47,18.5,4,46,22
upo_smooth,81,25.3,65.8,6.4,5.6,loamy,7,organic,2,regular,234.2,73,12.6,3,45,19
patola,62,25.5,77.9,10.4,7.5,silty,3,organic,4,as-needed,238.9,31,20.0,3,27,10
kalabasa,96,28.3,68.0,7.4,6.6,loamy,6,mixed,2,regular,327.1,73,5.6,4,22,9
kalabasa,40,19.4,61.5,6.9,7.3,silty,4,organic,1,regular,144.3,14,8.5,3,19,1
upo_smooth,68,25.8,48.1,7.1,6.7,loamy,4,organic,1,regular,307.7,70,22.1,4,57,22
upo_smooth,91,24.4,63.5,7.2,5.9,loamy,4,chemical,4,as-needed,227.5,67,11.4,2,15,11
kalabasa,65,26.9,70.5,7.3,6.5,silty,6,chemical,2,regular,337.9,10,18.3,5,30,13
patola,47,32.2,79.9,7.3,6.2,loamy,3,chemical,0,as-needed,211.1,30,6.6,4,34,11
cucumber,68,23.6,73.8,10.7,5.5,loamy,4,organic,2,as-needed,141.8,45,14.5,4,25,14
cucumber,55,20.3,94.6,6.9,5.1,clay,6,organic,0,as-needed,203.5,74,22.6,4,29,19
cucumber,82,25.4,71.2,7.6,7.4,loamy,3,mixed,1,as-needed,73.5,78,20.9,2,8,10
ampalaya_bilog,49,16.4,69.2,7.1,6.6,silty,4,chemical,3,intensive,303.5,36,8.9,3,20,13
upo_smooth,56,26.2,72.7,7.8,6.3,silty,5,chemical,3,none,423.2,48,11.7,3,38,21
upo_smooth,68,35.4,79.8,7.0,6.5,loamy,5,organic,2,regular,388.6,63,7.4,3,36,10
upo_smooth,69,26.2,47.3,6.3,6.2,silty,4,organic,0,regular,348.6,39,7.5,3,46,19
upo_smooth,106,27.8,64.1,7.4,6.1,loamy,5,mixed,0,none,325.9,48,8.1,3,26,13
patola,97,29.3,64.9,7.7,5.6,loamy,5,none,2,regular,225.2,59,20.4,3,20,3
patola,62,18.6,74.1,6.4,6.7,clay,7,chemical,3,intensive,234.4,53,15.3,5,11,6
upo_smooth,48,25.9,62.2,6.3,6.2,loamy,6,chemical,1,none,431.4,40,12.9,2,16,3
upo_smooth,52,26.7,71.1,6.2,6.7,clay,4,organic,2,as-needed,402.6,17,17.8,2,42,17
upo_smooth,60,24.0,73.7,6.9,6.4,sandy,2,organic,2,as-needed,255.5,53,21.6,3,41,15
patola,48,25.2,77.1,3.4,6.0,sandy,5,organic,4,intensive,290.9,15,15.1,1,7,5
ampalaya_bilog,56,31.8,77.7,9.4,6.6,clay,6,organic,3,as-needed,120.6,29,15.6,3,23,15
patola,56,30.8,75.3,4.8,6.1,silty,6,mixed,4,regular,181.8,62,16.7,3,29,6
kalabasa,33,20.3,76.2,5.3,6.4,loamy,6,chemical,2,none,321.6,27,13.4,3,19,7
upo_smooth,58,28.4,65.6,5.5,7.2,sandy,6,chemical,2,as-needed,284.2,32,13.6,4,48,22
upo_smooth,54,24.8,72.3,6.4,7.4,clay,6,organic,2,regular,431.7,79,25.0,5,49,30
patola,58,39.8,68.0,7.2,6.4,loamy,5,chemical,4,regular,376.0,30,22.3,3,24,9
patola,48,27.7,62.2,6.3,6.8,sandy,5,chemical,3,regular,168.1,30,8.3,5,35,16
patola,61,28.9,62.5,4.2,7.2,loamy,2,chemical,4,none,374.8,76,15.5,3,19,6
patola,38,25.2,69.7,6.9,6.8,sandy,3,organic,3,regular,209.6,23,21.0,4,34,13
kalabasa,62,21.1,70.8,6.9,6.7,clay,5,chemical,1,as-needed,180.5,18,19.2,5,33,9
cucumber,27,39.0,52.8,3.5,7.7,sandy,5,chemical,0,as-needed,157.8,54,22.9,3,15,5
upo_smooth,58,26.7,76.6,6.6,6.6,clay,2,none,2,intensive,367.6,68,15.9,3,35,14
ampalaya_bilog,60,26.2,50.3,4.6,6.1,loamy,4,mixed,1,as-needed,322.7,70,21.3,3,30,10
ampalaya_bilog,41,23.2,61.7,9.9,6.1,loamy,3,mixed,1,regular,235.7,43,10.6,3,32,15
upo_smooth,37,17.8,76.3,6.0,6.0,clay,7,chemical,1,as-needed,432.5,25,16.2,3,23,9
upo_smooth,77,22.5,72.1,7.8,6.3,clay,7,mixed,4,none,261.9,40,12.7,2,24,13
upo_smooth,48,24.7,62.9,7.6,5.7,clay,6,mixed,4,intensive,251.2,27,20.2,3,40,25
ampalaya_bilog,41,18.7,80.1,6.7,6.3,clay,4,none,4,as-needed,280.2,29,17.9,5,28,10
kalabasa,51,34.6,62.6,7.1,6.5,clay,5,organic,3,regular,269.7,67,22.7,4,29,12
patola,65,16.9,73.9,5.0,6.7,silty,6,mixed,1,as-needed,231.7,57,22.0,3,27,5
cucumber,93,35.6,82.4,8.0,6.1,loamy,4,chemical,1,regular,163.9,68,11.0,3,24,3
ampalaya_bilog,99,27.4,64.9,6.9,6.4,sandy,6,organic,3,none,319.2,23,22.7,4,20,12
ampalaya_bilog,52,26.4,63.4,6.0,6.3,clay,5,none,4,none,322.3,48,24.3,2,5,5
patola,102,26.0,74.2,9.4,6.8,loamy,5,chemical,0,intensive,325.7,40,15.9,1,1,3
cucumber,34,17.0,53.9,4.2,6.7,loamy,5,mixed,3,as-needed,223.2,28,6.0,1,9,14
cucumber,62,23.4,67.8,7.7,5.9,silty,5,none,1,regular,231.7,65,13.5,3,17,10
ampalaya_bilog,96,28.7,69.0,8.7,6.7,sandy,4,mixed,2,regular,309.0,71,15.0,3,27,7
cucumber,43,29.4,63.9,4.2,6.4,sandy,7,organic,2,intensive,98.9,77,19.4,3,30,22
patola,59,30.0,82.2,6.6,7.4,loamy,6,none,2,as-needed,294.2,79,13.3,2,13,3
upo_smooth,69,29.0,88.3,5.2,7.6,loamy,4,organic,4,as-needed,199.2,76,23.0,3,35,21
ampalaya_bilog,40,23.8,68.8,10.0,6.7,clay,4,none,1,as-needed,319.5,60,21.6,3,21,8
cucumber,40,24.1,60.0,6.8,6.2,sandy,4,chemical,3,as-needed,114.0,32,7.4,5,35,25
patola,39,37.7,66.2,9.1,6.5,loamy,2,none,2,intensive,300.6,61,11.6,4,15,2
ampalaya_bilog,49,32.9,60.3,8.4,6.7,loamy,4,organic,2,regular,259.7,56,21.2,5,34,19
cucumber,87,37.2,42.5,6.8,6.8,sandy,5,chemical,3,as-needed,170.9,75,24.9,4,19,4
ampalaya_bilog,31,27.7,78.3,7.1,6.2,sandy,4,none,2,as-needed,218.1,19,23.7,5,20,7
ampalaya_bilog,50,29.0,81.9,3.1,6.5,loamy,3,chemical,2,intensive,326.0,54,13.9,3,12,8
cucumber,42,26.1,66.7,9.6,6.0,clay,6,mixed,1,regular,107.2,37,10.3,3,29,15
kalabasa,66,17.6,76.4,10.8,6.2,silty,6,mixed,2,regular,314.1,47,13.2,1,1,3
